id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	361	94	51	361	216	10
23	0	392	440	499	13	12	107	82	48
5	0	42	91	634	102	147	592	343	49
13	0	207	475	646	14	101	439	324	268
11	0	187	509	669	86	28	482	368	322
2	0	1	67	680	181	158	679	340	66
30	0	583	705	1028	25	21	445	399	122
9	0	109	1169	1214	45	0	1105	1060	1060
28	0	550	718	1225	77	145	675	453	168
26	0	527	741	1236	51	182	709	476	214
8	0	99	690	1266	93	148	1167	926	591
12	0	203	1322	1362	40	0	1159	1119	1119
22	0	390	1276	1473	14	32	1083	1037	886
7	0	87	1483	1503	20	0	1416	1396	1396
29	0	567	1597	1598	1	0	1031	1030	1030
3	0	11	1155	1699	49	187	1688	1452	1144
18	0	278	1310	1741	58	179	1463	1226	1032
16	0	260	1548	1756	19	50	1496	1427	1288
4	0	33	1608	1781	64	1	1748	1683	1575
10	0	169	1585	1792	9	68	1623	1546	1416
19	0	301	1821	1823	2	0	1522	1520	1520
14	0	238	1861	1995	22	3	1757	1732	1623
25	0	513	1833	2019	16	75	1506	1415	1320
6	0	57	1845	2033	10	34	1976	1932	1788
21	0	372	1884	2072	73	49	1700	1578	1512
15	0	245	1873	2088	17	86	1843	1740	1628
27	0	534	729	2127	52	163	1593	1378	195
24	0	499	1296	2205	65	48	1706	1593	797
17	0	265	1802	2252	28	177	1987	1782	1537
20	0	310	2098	2297	26	89	1987	1872	1788
0	0	0	0	2297	1	0	2297	2296	0
